affiliationID|ScopusIDPub|AuthorID
60007966|84908330803|56398572400
60007966|84908330803|37016365200
60007966|84908330803|6701641192
60007966|84906782013|14324182300
60007966|84906782013|23005697100
60007966|84906782013|6701641192
60027950|84906782013|7004245320
60016458#60007966|84906721620|36164324500
60016458|84906721620|26436353300
No_Afilliation|84906721620|56341713900
No_Afilliation|84906721620|56341844000
60007966|84906721620|6701641192
60016458|84906721620|23389116800
60005837|84913580204|55840818800
60005837|84913580204|56433438900
60007966|84913580204|55219933100
60005837|84913580204|55840729200
60005837|84913580204|56226036800
60005837|84913580204|56433433300
60005837|84913580204|26658234000
60005837|84913580204|6507998244
60007966|84913580204|6701641192
60005837#60005837|84913580204|6701739104
60005837#60005837#60009858|84913580204|7102870600
60005837|84891372264|55639797600
60005837#60007966|84891372264|55219933100
60005837|84891372264|55640536600
60005837|84891372264|6507998244
60007966|84891372264|7004573545
60007966|84891372264|6701641192
60005837#60007966#60005837|84891372264|7102870600
No_Afilliation|84910017901|14419820800
No_Afilliation|84910017901|6701641192
60007966|84905976401|55573274500
60007966|84905976401|55143920000
60007966|84905976401|6701641192
60007966|84905976401|7004573545
60007966|84897104001|36738882600
60007966|84897104001|6701641192
